label,sign,accuracy_base,n_val,accuracy_me126,delta
64,drop,0.5833333333333334,36,0.6666666666666666,0.08333333333333326
53,cut,0.5945945945945946,37,0.6216216216216216,0.027027027027026973
62,drawer,0.5945945945945946,37,0.7567567567567568,0.16216216216216217
160,on,0.5945945945945946,37,0.5405405405405406,-0.05405405405405406
225,touch,0.5945945945945946,37,0.6756756756756757,0.08108108108108103
188,room,0.5945945945945946,37,0.6486486486486487,0.05405405405405406
248,zebra,0.5945945945945946,37,0.7297297297297297,0.1351351351351351
41,cheek,0.5945945945945946,37,0.5405405405405406,-0.05405405405405406
247,yucky,0.6052631578947368,38,0.6578947368421053,0.052631578947368474
61,down,0.6060606060606061,33,0.696969696969697,0.09090909090909094
124,into,0.6111111111111112,36,0.6111111111111112,0.0
223,tooth,0.6153846153846154,39,0.6410256410256411,0.02564102564102566
168,pencil,0.6153846153846154,39,0.5897435897435898,-0.02564102564102566
81,finish,0.6153846153846154,39,0.717948717948718,0.10256410256410253
77,feet,0.6216216216216216,37,0.6756756756756757,0.05405405405405406
200,sleepy,0.625,40,0.675,0.050000000000000044
1,after,0.6285714285714286,35,0.5714285714285714,-0.05714285714285716
232,wait,0.6285714285714286,35,0.6571428571428571,0.02857142857142858
36,car,0.6285714285714286,35,0.6571428571428571,0.02857142857142858
58,dog,0.631578947368421,38,0.7894736842105263,0.1578947368421053
48,cloud,0.631578947368421,38,0.8157894736842105,0.1842105263157895
84,fish,0.631578947368421,38,0.7368421052631579,0.10526315789473684
184,read,0.6388888888888888,36,0.7777777777777778,0.13888888888888895
116,hide,0.6388888888888888,36,0.6388888888888888,0.0
72,eye,0.6410256410256411,39,0.6153846153846154,-0.02564102564102566
244,yes,0.6410256410256411,39,0.6666666666666666,0.02564102564102555
4,alligator,0.6410256410256411,39,0.717948717948718,0.07692307692307687
137,loud,0.6410256410256411,39,0.717948717948718,0.07692307692307687
135,listen,0.6428571428571429,42,0.7142857142857143,0.0714285714285714
38,cat,0.65,40,0.725,0.07499999999999996
128,kiss,0.65,40,0.75,0.09999999999999998
7,any,0.6571428571428571,35,0.6857142857142857,0.02857142857142858
42,child,0.6571428571428571,35,0.6285714285714286,-0.02857142857142858
190,same,0.6578947368421053,38,0.6578947368421053,0.0
105,happy,0.6578947368421053,38,0.7368421052631579,0.07894736842105254
99,grandma,0.6578947368421053,38,0.6842105263157895,0.02631578947368418
